avatarThumbnail,cid,createTime,createTimeISO,detailedMentions/0/nickName,detailedMentions/0/profileUrl,detailedMentions/0/secUid,detailedMentions/0/userId,detailedMentions/1/nickName,detailedMentions/1/profileUrl,detailedMentions/1/secUid,detailedMentions/1/userId,detailedMentions/2/nickName,detailedMentions/2/profileUrl,detailedMentions/2/secUid,detailedMentions/2/userId,detailedMentions/3/nickName,detailedMentions/3/profileUrl,detailedMentions/3/secUid,detailedMentions/3/userId,detailedMentions/4/nickName,detailedMentions/4/profileUrl,detailedMentions/4/secUid,detailedMentions/4/userId,detailedMentions/5/nickName,detailedMentions/5/profileUrl,detailedMentions/5/secUid,detailedMentions/5/userId,diggCount,input,likedByAuthor,mentions/0,mentions/1,mentions/2,mentions/3,mentions/4,mentions/5,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,text,uid,uniqueId,videoWebUrl
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/e62da3a499f514b824c50eb2940756b5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9ddd47c&x-expires=1750968000&x-signature=Xu%2B%2BSUYmPqjzArEr%2ByMmjeMXvDI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41316E+18,1726010499,2024-09-10T23:21:39.000Z,,,,,,,,,,,,,,,,,,,,,,,,,25905,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,84,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,Voy a Peru y seria Brad Pitt,7.09582E+18,dan_260618,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/0eae95ec6324bd1b7b32988a9f296e50~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=556028f1&x-expires=1750968000&x-signature=jLc5gzXX68jScin6y2out9zlixc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41318E+18,1726015697,2024-09-11T00:48:17.000Z,,,,,,,,,,,,,,,,,,,,,,,,,16300,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,67,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,no papi yo jui,6.77427E+18,698.y,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/2e1ea647272a172ae4742cf67ff463d1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c1ddfa06&x-expires=1750968000&x-signature=sZDcQ04bAt1DyIBRNpSZLPJXGio%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41323E+18,1726027725,2024-09-11T04:08:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,,6326,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,60,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,voy a Perú y soy tobey Maguire de joven,6.95271E+18,stranger.nebula,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/c187a4ee70c79589236be59e1a7b49b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cd3557f6&x-expires=1750968000&x-signature=%2Ff0OVn5Nx83nZ1YZccYfDrjxJ3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51155E+18,1748919152,2025-06-03T02:52:32.000Z,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,Ella jue Jajajaa,6.62046E+18,jesusalanis120,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/b39ff6547898807f3a174a53aacd9674~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8f11684e&x-expires=1750968000&x-signature=oF38WFdrQaQTtnzPowh0%2F%2FhGkvI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41313E+18,1726003404,2024-09-10T21:23:24.000Z,,,,,,,,,,,,,,,,,,,,,,,,,5364,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,10,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,quien jue ??,7.3082E+18,dario_9181,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/785e320058d8aa3ba06d2bddd02404e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3b253755&x-expires=1750968000&x-signature=PqQ1kSVmAMwRPUZcONUutf8mvy0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41338E+18,1726063120,2024-09-11T13:58:40.000Z,,,,,,,,,,,,,,,,,,,,,,,,,3435,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,19,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,PUCHE LO QUE ME LO PERDI???,7.05993E+18,henryjose200,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7745f8e3&x-expires=1750968000&x-signature=2Baro5EItl3aPXYPmhfxYMLhzFM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.43431E+18,1730935759,2024-11-06T23:29:19.000Z,,,,,,,,,,,,,,,,,,,,,,,,,49,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,1,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,todos somos guapos en perú JJAJAJA,7.16087E+18,juli2009230,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/5989d9459e79fb9f57bbbdd45b5e3372~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=946b93b4&x-expires=1750968000&x-signature=mxlFHj3tmu%2BU%2BmVbuslDs64vWvc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.4131E+18,1725996285,2024-09-10T19:24:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,,9991,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,26,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,yo jui,6.83614E+18,mateooad_7h,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/8af4c9c57ecaa4104c92cac294717213~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a1cd2e28&x-expires=1750968000&x-signature=9ev%2B2orcK8JpdLJERP82%2FPEIFLc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.43426E+18,1730922409,2024-11-06T19:46:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,844,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,3,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,no pape yo jui,6.81871E+18,yeongmeow,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/328e45fc819c1b05c2f55604ae83ac8b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e64cdac5&x-expires=1750968000&x-signature=g3kmBOeQ1RfZsPhUzFS0Y4zDh5Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41351E+18,1726092725,2024-09-11T22:12:05.000Z,,,,,,,,,,,,,,,,,,,,,,,,,323,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,30,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,Es ilegal ser lindo en Perú ?????,7.35277E+18,giovany.avila3,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/a5cd4f7101a1cfb1dd5585e310fd999e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dd2a070b&x-expires=1750968000&x-signature=Ebt9aWgh7d4KZYcN0vMJoC5S%2Bng%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41279E+18,1725924253,2024-09-09T23:24:13.000Z,,,,,,,,,,,,,,,,,,,,,,,,,1495,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,10,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,en qué parte de europa,6.85918E+18,salario_minimo2502,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/27a5f30bb25801e6a83288170e973805~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a15bd191&x-expires=1750968000&x-signature=p2bRlQX0TTO2uU%2FUcvl3Kn%2Bn9HQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41284E+18,1725936874,2024-09-10T02:54:34.000Z,,,,,,,,,,,,,,,,,,,,,,,,,447,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,5,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,yo en mi país ????. yo en ese país ???? todo hermoso ????,7.06328E+18,x_.caleb_good,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/9014acffd39529d6aa11b4b7f0598a5b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ac87556c&x-expires=1750968000&x-signature=GSWThBj4LKz8C%2FdI%2FYrQgInnuR4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41725E+18,1726964089,2024-09-22T00:14:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,23,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,Silencio que ya empezó mi p-drama,6.59266E+18,cristophg99,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/b7d3eafc49fa456a4caaf818611503d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e4e5a647&x-expires=1750968000&x-signature=Pdm%2F4vWOb%2FJmC8T6Kn%2BvJpGisco%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.43423E+18,1730917191,2024-11-06T18:19:51.000Z,,,,,,,,,,,,,,,,,,,,,,,,,21,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,"no bb es mentira de ella , fui yo????????",7.41935E+18,222honey_moon222,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/f20b4e7aca3854b8ab4716be346906ae~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e8894b5e&x-expires=1750968000&x-signature=IL65E3XkLt9hMChsc0IB53ZtMJk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41321E+18,1726023198,2024-09-11T02:53:18.000Z,,,,,,,,,,,,,,,,,,,,,,,,,286,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,3,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,papi yo jui,7.28767E+18,alexxdra_0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/5d26f71dc270d2417eb647db40439362~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bffb1dd1&x-expires=1750968000&x-signature=0VrtOMT7koGbd6SkgInJ4lh%2FugU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.43431E+18,1730935321,2024-11-06T23:22:01.000Z,,,,,,,,,,,,,,,,,,,,,,,,,34,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,no papi yo fui??????,6.99593E+18,_...l1e,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/485fad4949b4fdedd0562a7cfdf18837~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=fec603f8&x-expires=1750968000&x-signature=3lVKld5VUbk8bgr2NJEdoAMOkdw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.4142E+18,1726253123,2024-09-13T18:45:23.000Z,,,,,,,,,,,,,,,,,,,,,,,,,35,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,1,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,uno trata de respetarlos pero ellos no cooperan ??,6.79128E+18,estebanmunoz23medina,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/579ac91fc0311b350fde30d670ba9e14~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9ae6cdde&x-expires=1750968000&x-signature=%2Fjq%2FvxKPKcGU1VS9Fr6TImiPy5E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.43392E+18,1730844177,2024-11-05T22:02:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,26,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,nos invaden los de facebook,7.4232E+18,jafetvuelve,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/22a2f125f2a32eaa2c8718188950f06f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9164a19&x-expires=1750968000&x-signature=WFhTRFbCfx0%2BQmis8pWz5R4lowQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.43425E+18,1730921153,2024-11-06T19:25:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,,30,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,"silencio, ya empezó mi novela",7.29221E+18,heiner9358,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/1c3c7d776b09a3d5477c70a476e6e6d6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ed54d4e&x-expires=1750968000&x-signature=Gv1f%2B1xTeObueHWVvfdKaeaCtVM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41388E+18,1726178397,2024-09-12T21:59:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,6,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,0,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,Arresten a esas mujeres visten muy provocativas,7.08838E+18,maht_619,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/0a89230cbe84e7dd7710568ea895d343~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6fa2c1fe&x-expires=1750968000&x-signature=HhDmHlH3ST%2BrygX70SdALZda2ts%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.41945E+18,1727475386,2024-09-27T22:16:26.000Z,,,,,,,,,,,,,,,,,,,,,,,,,19,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,false,,,,,,,false,,1,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509,"no papi, yo jui",6.92375E+18,9_16.9,https://www.tiktok.com/@rosaura_arrostica/video/7412104477164981509
